,domain_name,y_idx,text
0,airline,0,"@united hi yes need a free hotel stay in Honalulu due to 4 hour delayUA53, since we will miss our second flight to Kauai"
1,airline,0,"@united Well, to the degree that he could... Just to know, after this experience I'm Cancelled Flighting my miles card. Thank god for @Delta"
2,airline,0,STOP THIS “@JetBlue: Our fleet's on fleek. http://t.co/Ac6zwmuOOn”
3,airline,0,@AmericanAir that luggage you forgot...#mia.....he just won an oscar😄💝💝💝
4,airline,1,"@JetBlue Great Thank you, lets hope so! Could you please notify me if flight 2302 leaves JFK? Thank you again"
5,airline,0,"@united My flight UA1159 to Denver for #RMOUG15 has been re-cheduled 5 times.
If I am no show, you'll know why! Ridiculous."
6,airline,0,@united lol too little too Late Flight
7,airline,1,@AmericanAir btw you guys should consider making a lounge at Austin Intl. airport! Very popuLate Flightd area! Will help the company for sure👌
8,airline,0,@AmericanAir Flight #2390 delayed 14 hours!! No one at #AmericanAirlines counter can tell my husband that he will be on that flight! Help???
9,airline,0,"@united (2/2) It suggests that if can't confirm cert at time of Flight Booking Problems, I should assume that it may never clear. Didn't used to be that way"
10,airline,0,@USAirways has the most ass backwards process for using credits on flights. even trying to get a hold of customer relations is impossible
11,airline,0,@USAirways stop Cancelled Flighting flights over and over and not provide any real help to your customers. #strandedinnashville
12,airline,1,"@united thank you.
It's my daughters 13th bd party w/proj. weather cond, it doesn't look promising.
Please assist with earlier flts to Cmh?"
13,airline,0,@SouthwestAir you're giving everyone tix for #DestinationDragons except for me and it's during my birthday!!!!
14,airline,0,@SouthwestAir answered. My options are a refund or a resched for Monday (I'd miss work). So I'm paying hundreds for a @USAirways flight tmw.
15,airline,0,@USAirways thanks for telling me my flight was on time when the plane was broken. You're an inferior airline.
16,airline,0,@united no wheelchairs
17,airline,0,"@USAirways DCA-&gt;HPN, u r prof hostage takers.We stood on bus 2 plane for 25 min,now sitting on plane with no mvmt &amp; 1 announcement 4 &gt; hour!"
18,airline,1,@AmericanAir My father loved working for you as well as PanAm
19,airline,1,@AmericanAir keep up the good work.  Got me to my destination safe and on time today
20,airline,0,@united currently crying... I wanted to ski tomorrow but prolly not. Just a boy tryna fulfill his dreams
21,airline,0,@USAirways I fucking hate your customer service. I've been on hold all morning trying to figure out why you Cancelled Flighted my flight.
